,Parameter,Bitcoin,Gold
0,Omega,0.8588977224848595,0.056743075321551914
1,Alpha,0.1386434483811939,0.08904791831068587
2,Beta,0.8183935093473488,0.872829820521107
3,Persistence,0.9570369577285427,0.961877738831793
